WKT,Longitude,Latitude,Route Name,Route Number
POINT (120.97165 14.62041),120.97165,14.62041,Divisoria–Gasak via H. Lopez,102
POINT (120.97219 14.62191),120.97219,14.62191,Divisoria–Gasak via H. Lopez,102
POINT (120.97196 14.6222),120.97196,14.6222,Divisoria–Gasak via H. Lopez,102
POINT (120.97002 14.62317),120.97002,14.62317,Divisoria–Gasak via H. Lopez,102
POINT (120.9677 14.62432),120.9677,14.62432,Divisoria–Gasak via H. Lopez,102
POINT (120.96586 14.62717),120.96586,14.62717,Divisoria–Gasak via H. Lopez,102
POINT (120.96468 14.62978),120.96468,14.62978,Divisoria–Gasak via H. Lopez,102
POINT (120.96359 14.63213),120.96359,14.63213,Divisoria–Gasak via H. Lopez,102
POINT (120.96213 14.63533),120.96213,14.63533,Divisoria–Gasak via H. Lopez,102
POINT (120.95997 14.63748),120.95997,14.63748,Divisoria–Gasak via H. Lopez,102
POINT (120.95614 14.64137),120.95614,14.64137,Divisoria–Gasak via H. Lopez,102
POINT (120.95477 14.64321),120.95477,14.64321,Divisoria–Gasak via H. Lopez,102
POINT (120.95313 14.64537),120.95313,14.64537,Divisoria–Gasak via H. Lopez,102
POINT (120.95106 14.64892),120.95106,14.64892,Divisoria–Gasak via H. Lopez,102
POINT (120.95046 14.65112),120.95046,14.65112,Divisoria–Gasak via H. Lopez,102
POINT (120.94978 14.65257),120.94978,14.65257,Divisoria–Gasak via H. Lopez,102
POINT (120.94978 14.65257),120.94978,14.65257,Divisoria–Gasak via H. Lopez,102
POINT (120.95102 14.65593),120.95102,14.65593,Divisoria–Gasak via H. Lopez,102
POINT (120.95129 14.6567),120.95129,14.6567,Divisoria–Gasak via H. Lopez,102
POINT (120.9524 14.65859),120.9524,14.65859,Divisoria–Gasak via H. Lopez,102
POINT (120.95201 14.65952),120.95201,14.65952,Divisoria–Gasak via H. Lopez,102
POINT (120.95124 14.66072),120.95124,14.66072,Divisoria–Gasak via H. Lopez,102
POINT (120.95007 14.66257),120.95007,14.66257,Divisoria–Gasak via H. Lopez,102
POINT (120.94967 14.66374),120.94967,14.66374,Divisoria–Gasak via H. Lopez,102
POINT (120.94855 14.66621),120.94855,14.66621,Divisoria–Gasak via H. Lopez,102
POINT (120.94759 14.66799),120.94759,14.66799,Divisoria–Gasak via H. Lopez,102
POINT (120.94683 14.66942),120.94683,14.66942,Divisoria–Gasak via H. Lopez,102
POINT (120.94649 14.67004),120.94649,14.67004,Divisoria–Gasak via H. Lopez,102
POINT (120.94602 14.67095),120.94602,14.67095,Divisoria–Gasak via H. Lopez,102
POINT (120.94489 14.67398),120.94489,14.67398,Divisoria–Gasak via H. Lopez,102
POINT (120.9441 14.67644),120.9441,14.67644,Divisoria–Gasak via H. Lopez,102
POINT (120.94267 14.67619),120.94267,14.67619,Divisoria–Gasak via H. Lopez,102
POINT (120.9962356 14.5320238),120.9962356,14.5320238,Baclaran-Blumentritt via L Guinto,103
POINT (120.999904919708 14.5374856),120.9999049,14.5374856,Baclaran-Blumentritt via L Guinto,103
POINT (120.9953855 14.5376378999999),120.9953855,14.5376379,Baclaran-Blumentritt via L Guinto,103
POINT (120.9953855 14.5376378999999),120.9953855,14.5376379,Baclaran-Blumentritt via L Guinto,103
POINT (120.996775519708 14.5489394197085),120.9967755,14.54893942,Baclaran-Blumentritt via L Guinto,103
