WKT,Coordinates,Route Name,Route Number,,
POINT (121.0276088 14.5610658),14.5610658,121.0276088,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0232321 14.5527697),14.5527697,121.0232321,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0246699 14.5489426),14.5489426,121.0246699,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0289419 14.5501489),14.5501489,121.0289419,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0246278 14.5489569),14.5489569,121.0246278,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0234244 14.5526838),14.5526838,121.0234244,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0277989 14.5611487),14.5611487,121.0277989,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0224244 14.563782),14.563782,121.0224244,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0230304 14.5652247),14.5652247,121.0230304,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0236369 14.5668759),14.5668759,121.0236369,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0241472 14.5682419),14.5682419,121.0241472,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0229882 14.570143),14.570143,121.0229882,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0180468 14.5713426),14.5713426,121.0180468,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0149057 14.5719255),14.5719255,121.0149057,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0129678 14.5739971),14.5739971,121.0129678,Makati PUJ Loop (Start from PRC Terminal),161,
